KwaZulu‐Natal,Branch Court,,Wembesi,,Okhahlamba,,,,,See Estcourt,,,
KwaZulu‐Natal,Branch Court,,Wentworth,,,No,No,,,031 468 2061 031 451 6238,"Private Bag X54308,","Austerville Drive, Wentworth",E 30.98109; S ‐29.94245
"",,,,,,,,,,,"Durban, 4000",4005,
Free State,Magistrate Court,,Wepener,,,Yes,Yes,,,051 583 1806 051 583 1658,"Private Bag X04, Wepener","2 Minnaar Street, Wepener",E 27.03717; S ‐29.73083
"",,,,,,,,,,,9944,9944,
Free State,Magistrate Court,,Wesselsbron,,,Yes,Yes,,,057 899 1815 057 899 2653,"Private Bag X2,",Cnr Pretorius & President Steyn E 26.36398; S ‐27.85572,
"",,,,,,,,,,,Wesselsbron 9680,"Street, Wesselsbron 9680",
Gauteng,Westonaria [Westonaria] Magistrate Court,,Westonaria,,,Yes,Yes,,,011 753 011 753 3725,"Private Bag X1, Westonaria 36 Pres Steyn Street,",,‐26.3236; 27.65128
"",,,,,,,,,,2251/2/4/5,1780,Westonaria 1780,
Mpumalanga,Mbombela [White River] Magistrate Court,,White River,,,Yes,Yes,,,013 751 1147/8 013 750 0426,"Private Bag X801, White",c/o Mgiyeni Khumalo & Peter,
"",,,,,,,,,,,River 1240,"Graham Street, White River",‐25.32844; 31.01958
"",,,,,,,,,,,,1240,
Eastern Cape,Magistrate Court,,Whittlesea,,,Yes,Yes,,,040 842 2246 040 842 3187,"Private Bag x 302,","3 Shepstone Street, Whittlesea E 26.82284; S ‐32.17442",
"",,,,,,,,,,,Whittlesea 5360,5360,
Northern Cape,Namakwa [Williston] Magistrate Court,,Williston,,,Yes,Yes,,,053 391 3006 053 391 3311,"Private Bag X2, Williston,","Kühn Street, Williston, 8920",‐31.34127; 20.91612
"",,,,,,,,,,,8920,,
Eastern Cape,Magistrate Court,,Willowmore,,,Yes,Yes,,,044 923 1009/ 044 923 1742,"Private Bag x 240,","36 Weymeyer Street,",E 23.4874; S ‐33.29536
"",,,,,,,,,,2107,Willowmore 6445,Willowmore 6445,
Eastern Cape,Magistrate Court,,Willowvale,,,Yes,Yes,,,047 499 1038 047 499 1022,"Private Bag x 507,","c/o Main & Hill Street ,",E 28.50773; S ‐32.26664
"",,,,,,,,,,,Willowvale 5040,Willowvale 5040,
Free State,Magistrate Court,,Winburg,,,Yes,Yes,,,051 881 0002 051 881 1535 /,"Private Bag X1, Winburg","34 Leech Street, Winburg 9420 E 27.00912; S ‐28.51905",
"",,,,,,,,,,0865071382,9420,,
Northern Cape,Frances Baard [Barkly West] Periodical Court,,Windsorton,,,No,Yes (Sessions Only),,,053 531 0621/23 053 531 0812,"Private Bag X1, Barkly",n/a,‐28.3267; 24.71093
"",,,,,,,,,,,"West, 8375",,
KwaZulu‐Natal,Periodical Court,,Winterton,,,No,No,,,036 352 036 352 1270,"Private Bag X7057, Estcourt 1 President Str, Winterton",,E 29.5401; S ‐28.81438
"",,,,,,,,,,3030/3032,3310,,
Northern Cape,ZF Mgcawu [Upington] Periodical Court,,Witdraai,,,No,No,,,054 337 5300 054 332 1495,"Private Bag X5983,","R360, Witdraai",
"",,,,,,,,,,,"‐26.95578; 20.70595Upington, 8800",,
Limpopo,Lephalale [Phalala] Detached Court,,Witpoort,Phalala,,Yes,Yes,,,014 769 0063/ 014 769 0165,"Private Bag X220, Lephalale Witpoort, Lephalale 0555",,‐23.32973; 28.00542
"",,,,,,,,,,0165/ 0167 Tel/Fax,0555,,
North West,Maquassi Hills  [Wolmaranstad] Magistrate Court,,Wolmaransstad,,,Yes,Yes,,,"018 596 1060 018 596 1121/1332 Private Bag X4,",,"28 Piet Retief Street,",‐27.19892; 25.98232
"",,,,,,,,,,,Wolmaransstad 2630,Wolmaransstad 2630,
Western Cape,Branch Court,,Wolseley,,,No,Yes (Sessions Only),,,023 231 1086 023 231 1086,"Private Bag X2, Wolseley","29 Eeufees Street , Wolseley",E 19.20098; S ‐33.41388
"",,,,,,,,,,Tel/Fax,6830,6830,
Western Cape,Magistrate Court,,Worcester,,,Yes,Yes,,,023 342 2325 023 347 5024,"Private Bag X3045,",57 Adderley & Waterloo,E 19.44355; S ‐33.6459
"",,,,,,,,,,,Worcester 6849,"Street, Worcester 6850",
Western Cape,Magistrate Court,,Wynberg [WC],,,Yes,Yes Yes,,,021 799 1800 021 762 7842,"Private Bag X3, Wynberg","c/o Church & Court  Road,",E 18.46617; S ‐34.00409
Region,MagDistrict,CourtType,Office,,PreviouslyKnownAs AlsoKnownAs,,EQC,SCC SOC,,MDS,Tel Fax,,Postal Physical,GPS [S;E]
Limpopo,Elias Motsoaledi [Groblersdal],Branch Court,Zaaiplaas,,,,No,No,,,013 262 2033/34 013 262 3000,,"Private Bag X617, New Stand, no: 63 Zaaiplaais,",‐25.16611; 29.75124
"",,,,,,,,,,,,,Groblersdal 0470 1047,
Free State,,Magistrate Court,Zastron,,,,Yes,Yes,,,051 673 1004 051 673 1027,,"Private Bag X30, Zastron 20 Hoofd Street, Zastron 9950 E 27.08456; S ‐30.30335",
"",,,,,,,,,,,,,9950,
Limpopo,Lepele‐Nkumpi [Lebowakgomo],Periodical Court,Zebediela,,,,No,Yes (Sessions Only),,,015 491 2158 015 491 8111,,"Private Bag X2499, R518 Road, Groothoek, 0628",‐24.29834; 29.24439
"",,,,,,,,,,,,,Mokopane 0600,
North West,Ramotshere Moiloa [Zeerust],Detached Court,Zeerust,,,,Yes,Yes,,,018 642 1055 018 642 2116/ 086,,"Private Bag X1337, Zeerust 27 President Street, Zeerust",‐25.54581; 26.07926
"",,,,,,,,,,,5075 032,,2865 2865,
Eastern Cape,,Magistrate Court,Zwelitsha,,,,Yes,Yes,,,040 658 0204 040 654 3334,,"Private Bag x 504, Zwelitsha Main Road , Zwelitsha 5608",E 27.4227; S ‐32.92039
"",,,,,,,,,,,,,5608,
"",,Lower  Courts,,715,Specialist Courts,,EC:,108,,,FS: 79,,GP: 59,
"",,Operational,,715,Equality: 384,,WC:,83,,,KZN: 106,,LMP: 90,
"",,Not Operational,,0,Small Claims: 410,,NC:,62,,,NW: 54,,MP: 74,
"",,Total,,715,Sexual Offence: 56,,,,,,,,,
"",,Total,,1430,Mediation: 54,,,,,,MC 352,,,
"",,,,,,,,,,,BC 88,,,
"",,,,,,,,,,,PC 224,,,
